Timestamp_Sec,DateTime_UTC,Network,NetworkID,Protocol,ArbID_Hex,ArbID_Dec,Is_Extended,Is_Tx,Is_Error,DLC,Data_Hex,B0,B1,B2,B3,B4,B5,B6,B7
607201147.598054,2026-03-29 18:59:07.598054,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.598206,2026-03-29 18:59:07.598207,HSCAN3,44,CAN,0x030,48,0,0,0,3,C1 79 E0,0xC1,0x79,0xE0,,,,,
607201147.598608,2026-03-29 18:59:07.598608,HSCAN3,44,CAN,0x031,49,0,0,0,7,C1 00 B6 FF F1 20 00,0xC1,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.598723,2026-03-29 18:59:07.598723,HSCAN3,44,CAN,0x011,17,0,0,0,1,D0,0xD0,,,,,,,
607201147.598839,2026-03-29 18:59:07.598839,HSCAN3,44,CAN,0x010,16,0,0,0,1,D0,0xD0,,,,,,,
607201147.694497,2026-03-29 18:59:07.694497,HSCAN3,44,CAN,0x020,32,0,0,0,3,01 87 F0,0x01,0x87,0xF0,,,,,
607201147.694765,2026-03-29 18:59:07.694765,HSCAN3,44,CAN,0x021,33,0,0,0,8,01 10 9D 05 20 00 00 40,0x01,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.694957,2026-03-29 18:59:07.694957,HSCAN3,44,CAN,0x022,34,0,0,0,5,01 10 00 22 00,0x01,0x10,0x00,0x22,0x00,,,
607201147.695207,2026-03-29 18:59:07.695207,HSCAN3,44,CAN,0x023,35,0,0,0,8,01 00 00 00 00 00 00 00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.695402,2026-03-29 18:59:07.695402,HSCAN3,44,CAN,0x024,36,0,0,0,5,01 00 00 00 00,0x01,0x00,0x00,0x00,0x00,,,
607201147.695554,2026-03-29 18:59:07.695554,HSCAN3,44,CAN,0x040,64,0,0,0,3,00 79 E0,0x00,0x79,0xE0,,,,,
607201147.695774,2026-03-29 18:59:07.695774,HSCAN3,44,CAN,0x041,65,0,0,0,7,01 00 F4 07 B6 03 00,0x01,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.695926,2026-03-29 18:59:07.695926,HSCAN3,44,CAN,0x030,48,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201147.696149,2026-03-29 18:59:07.696148,HSCAN3,44,CAN,0x031,49,0,0,0,7,01 00 B6 FF F1 20 00,0x01,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.696383,2026-03-29 18:59:07.696383,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.696535,2026-03-29 18:59:07.696535,HSCAN3,44,CAN,0x030,48,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201147.696757,2026-03-29 18:59:07.696757,HSCAN3,44,CAN,0x031,49,0,0,0,7,01 00 B6 FF F1 20 00,0x01,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.696874,2026-03-29 18:59:07.696874,HSCAN3,44,CAN,0x011,17,0,0,0,1,10,0x10,,,,,,,
607201147.696992,2026-03-29 18:59:07.696992,HSCAN3,44,CAN,0x010,16,0,0,0,1,10,0x10,,,,,,,
607201147.795805,2026-03-29 18:59:07.795805,HSCAN3,44,CAN,0x020,32,0,0,0,3,41 87 F0,0x41,0x87,0xF0,,,,,
607201147.796043,2026-03-29 18:59:07.796043,HSCAN3,44,CAN,0x021,33,0,0,0,8,41 10 9D 05 20 00 00 40,0x41,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.796234,2026-03-29 18:59:07.796234,HSCAN3,44,CAN,0x022,34,0,0,0,5,41 10 00 22 00,0x41,0x10,0x00,0x22,0x00,,,
